Text,Sentiment
"Ứng dụng chạy rất mượt, cảm ơn đội ngũ!",positive
"Tuyệt vời, vấn đề đã được giải quyết nhanh chóng",positive
"Rất hài lòng với dịch vụ hỗ trợ",positive
"Phần mềm hoạt động ổn định, tốt lắm",positive
"Cảm ơn team đã hỗ trợ nhiệt tình",positive
"Giao diện đẹp, dễ sử dụng",positive
"Tính năng mới rất hữu ích",positive
"Nhân viên hỗ trợ rất chuyên nghiệp",positive
"Đã giải quyết được vấn đề của tôi",positive
"Trải nghiệm tốt, sẽ giới thiệu cho bạn bè",positive
"Ứng dụng load nhanh, không bị lag",positive
"Cập nhật mới rất ổn định",positive
"Hệ thống chạy mượt mà",positive
"Rất thích tính năng báo cáo mới",positive
"Dịch vụ khách hàng xuất sắc",positive
"Phản hồi nhanh chóng, cảm ơn",positive
"Sản phẩm chất lượng cao",positive
"Đội ngũ support rất tận tâm",positive
"Mọi thứ hoạt động như mong đợi",positive
"Cảm ơn vì đã lắng nghe góp ý",positive
"Tôi rất vui khi sử dụng phần mềm này",positive
"Đây là phần mềm tốt nhất tôi từng dùng",positive
"Cảm ơn đội ngũ phát triển rất nhiều",positive
"Hỗ trợ tuyệt vời, giải quyết nhanh gọn",positive
"Tôi sẽ gia hạn đăng ký vì quá hài lòng",positive
"Ứng dụng hoạt động xuất sắc",positive
"Rất đáng tiền, chất lượng tốt",positive
"Team support phản hồi cực nhanh",positive
"Xin cảm ơn vì dịch vụ tốt",positive
"Phần mềm giúp công việc hiệu quả hơn nhiều",positive
"Giao diện rất trực quan và dễ dùng",positive
"Tôi yêu thích tính năng mới cập nhật",positive
"Sản phẩm vượt quá mong đợi của tôi",positive
"Hệ thống ổn định, không gặp vấn đề gì",positive
"Cảm ơn vì đã cải thiện theo góp ý",positive
"App hoạt động rất tốt trên điện thoại",positive
"Tốc độ xử lý nhanh, tôi rất hài lòng",positive
"Đáng để giới thiệu cho đồng nghiệp",positive
"Chức năng báo cáo rất chi tiết và hữu ích",positive
"Tôi rất thích giao diện mới",positive
"Lỗi liên tục, không thể sử dụng được!",negative
"Quá tệ, đã báo nhiều lần mà không ai xử lý",negative
"Ứng dụng crash mỗi khi mở, rất khó chịu",negative
"Không đăng nhập được vào hệ thống",negative
"Chờ đợi quá lâu, thất vọng quá!",negative
"Phần mềm bị treo liên tục",negative
"Mất dữ liệu, thiệt hại lớn quá!",negative
"Hỗ trợ quá chậm, không chấp nhận được",negative
"Lỗi này đã báo từ tuần trước mà chưa fix",negative
"Ứng dụng không thể xuất báo cáo",negative
"Tính năng không hoạt động như quảng cáo",negative
"Giao diện khó sử dụng quá",negative
"Phần mềm chạy rất chậm",negative
"Không thể thanh toán được, lỗi liên tục",negative
"Dữ liệu hiển thị sai",negative
"Bực mình quá, lỗi hoài",negative
"Tôi yêu cầu hoàn tiền ngay!",negative
"Ứng dụng tệ nhất tôi từng dùng",negative
"Không thể chấp nhận chất lượng này",negative
"Support không giúp được gì cả",negative
"Ứng dụng crash liên tục không thể sử dụng được",negative
"Tôi rất bực mình với lỗi này",negative
"Hệ thống bị lỗi nghiêm trọng",negative
"Phần mềm treo máy liên tục",negative
"Tôi không thể làm việc được vì lỗi",negative
"Đây là trải nghiệm tồi tệ nhất",negative
"Vấn đề này quá nghiêm trọng",negative
"Tôi rất thất vọng về dịch vụ",negative
"Ứng dụng không hoạt động gì cả",negative
"Lỗi này ảnh hưởng nghiêm trọng đến công việc",negative
"Tôi muốn khiếu nại về chất lượng",negative
"Phần mềm này quá tệ",negative
"Không ai phản hồi yêu cầu của tôi",negative
"Tôi chán ngán với những lỗi này rồi",negative
"Ứng dụng cứ bị crash hoài",negative
"Hệ thống quá chậm và lag",negative
"Tôi không hài lòng chút nào",negative
"Vấn đề vẫn chưa được giải quyết",negative
"Đã đợi quá lâu mà không có phản hồi",negative
"Tôi rất tức giận về việc này",negative
"Phần mềm bị lỗi mỗi khi mở",negative
"App bị crash khi tôi đang làm việc",negative
"Mất hết dữ liệu quan trọng",negative
"Support không chịu trả lời",negative
"Tôi sẽ hủy đăng ký vì quá tệ",negative
"Ứng dụng không đáng tiền",negative
"Chất lượng quá kém",negative
"Tôi không thể chịu được nữa",negative
"Đây là lần cuối tôi sử dụng app này",negative
"Quá nhiều bug và lỗi",negative
"Ứng dụng crash liên tục, không thể sử dụng được! Rất bực mình!",negative
"App bị crash hoài, bực mình quá!",negative
"Crash liên tục, không chịu nổi nữa!",negative
"Ứng dụng cứ bị dừng đột ngột, quá tệ!",negative
"Phần mềm crash mỗi lần mở, rất khó chịu!",negative
"Không dùng được gì cả, crash suốt!",negative
"Bực mình quá, app crash hoài không làm việc được!",negative
"Rất bực vì ứng dụng liên tục bị crash!",negative
"Tệ quá, crash liên tục không thể chấp nhận được!",negative
"Ứng dụng dừng hoạt động liên tục, quá bực mình!",negative
"Crash crash crash, bực quá!",negative
"Không thể sử dụng vì cứ bị crash!",negative
"Ứng dụng tệ hại, crash mọi lúc!",negative
"Quá khó chịu, ứng dụng crash không ngừng!",negative
"Bực mình với cái app crash này lắm rồi!",negative
"Ứng dụng đơ liên tục, bực ghê!",negative
"Phần mềm hay bị văng ra ngoài, khó chịu lắm!",negative
"App cứ thoát ra hoài, tức quá!",negative
"Mở lên là crash, dùng sao được!",negative
"Chán quá, crash hoài xài không được!",negative
"Tôi cần hỗ trợ cài đặt phần mềm",neutral
"Làm sao để reset mật khẩu?",neutral
"Cho tôi hỏi về tính năng báo cáo",neutral
"Tôi muốn nâng cấp gói dịch vụ",neutral
"Hướng dẫn sử dụng chức năng export",neutral
"Có phiên bản mobile không?",neutral
"Giá gói enterprise là bao nhiêu?",neutral
"Tôi cần thêm người dùng mới",neutral
"Làm sao để tích hợp với hệ thống khác?",neutral
"Có hỗ trợ ngôn ngữ tiếng Anh không?",neutral
"Tôi muốn hủy đăng ký",neutral
"Cho tôi biết thời gian bảo trì",neutral
"Tài khoản của tôi có vấn đề gì?",neutral
"Yêu cầu cung cấp hóa đơn tháng này",neutral
"Tôi quên mật khẩu rồi",neutral
"Có bản demo để thử không?",neutral
"Liên hệ bộ phận kinh doanh như thế nào?",neutral
"Hợp đồng của tôi khi nào hết hạn?",neutral
"Cần tư vấn thêm về sản phẩm",neutral
"Cho tôi số hotline hỗ trợ",neutral
"Xin hỏi cách sử dụng tính năng này",neutral
"Tôi cần hướng dẫn cài đặt",neutral
"Có thể xuất file Excel không?",neutral
"Làm sao để thay đổi email đăng ký?",neutral
"Tôi cần biết thêm thông tin về gói dịch vụ",neutral
"Cho tôi xin tài liệu hướng dẫn",neutral
"Xin hỏi về chính sách bảo hành",neutral
"Tôi cần cập nhật thông tin tài khoản",neutral
"Có chương trình khuyến mãi nào không?",neutral
"Làm sao để liên hệ bộ phận kỹ thuật?",neutral
"Tôi muốn đổi gói dịch vụ",neutral
"Xin hỏi về tính năng mới",neutral
"Có thể thanh toán bằng thẻ không?",neutral
"Tôi cần thay đổi mật khẩu",neutral
"Xin hỏi cách đăng ký tài khoản mới",neutral
"Có tích hợp với Google Drive không?",neutral
"Tôi muốn biết về các tính năng premium",neutral
"Làm sao để backup dữ liệu?",neutral
"Xin hỏi về chính sách hoàn tiền",neutral
"Tôi cần hỗ trợ kỹ thuật",neutral
